StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent_q,att1,att2,Q88_First Click,Q88_Last Click,Q88_Page Submit,Q88_Click Count,Q84_First Click,Q84_Last Click,Q84_Page Submit,Q84_Click Count,vA_liable_AV_1,vB_mnfctr_liable_AV_1,vA_cntrfctl_AV_1,vB_cntrfctl_AV_1,avoid_AV_1,Q87_First Click,Q87_Last Click,Q87_Page Submit,Q87_Click Count,Q82_First Click,Q82_Last Click,Q82_Page Submit,Q82_Click Count,vA_liable_1,vB_driver_liable_1,vB_mnfctr_liable_1,vA_cntrfctl_1,vB_cntrfctl_1,avoid_1,comp1,comp_accident,pol_affiliation_1,driving_ability_1,ai_familiarity_1,gender,gender_4_TEXT,age,edu,edu_8_TEXT,FL_4_DO,questions_1_AV_DO,questions_2_AV_DO,questions_1_DO,questions_2_DO,moderators_DO
2023-04-06 15:17:35,2023-04-06 15:20:24,0,104.246.21.134,100,169,1,2023-04-06 15:20:25,R_OJv7TH8aJvPEsQF,,,,,40.2825,-74.3424,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,19.123,0,0,0,11.9,0,87,5,13,100,21,58,2,1,19,73,61,1,,38,7,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 15:18:40,2023-04-06 15:21:29,0,96.42.57.178,100,168,1,2023-04-06 15:21:30,R_120eWoJu5JTWKV6,,,,,43.0334,-89.4512,anonymous,EN,1,2,2,0,0,17.531,0,0,0,13.37,0,81,69,84,69,67,,,,,,,,,,,,,,,1,1,9,40,62,2,,25,5,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:18:45,2023-04-06 15:22:51,0,72.183.100.179,100,246,1,2023-04-06 15:22:52,R_2PkaiP9XtFVQuNU,,,,,27.552,-99.4959,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,18.118,0,0,0,12.198,0,0,21,0,100,3,18,2,1,50,84,65,2,,35,5,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:21:01,2023-04-06 15:23:48,0,100.35.78.193,100,167,1,2023-04-06 15:23:49,R_3e4csWCz9aorvnX,,,,,40.2993,-73.9891,anonymous,EN,1,2,2,,,,,,,,,,,,,,6.881,6.881,20.357,1,0,0,15.331,0,100,0,9,100,4,6,2,1,24,90,17,1,,28,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:23:18,2023-04-06 15:25:34,0,98.30.248.18,100,136,1,2023-04-06 15:25:36,R_2DXOfVIP0SE4Qqs,,,,,41.0708,-81.5511,anonymous,EN,1,2,2,7.711,22.183,22.599,3,0,0,10.743,0,95,24,88,21,9,,,,,,,,,,,,,,,1,1,50,50,82,1,,33,1,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:23:32,2023-04-06 15:27:06,0,108.252.170.27,100,213,1,2023-04-06 15:27:06,R_3CJfwF1A7i6Abgp,,,,,29.7646,-95.3657,anonymous,EN,1,2,2,0,0,25.441,0,0,0,15.237,0,80,20,30,65,60,,,,,,,,,,,,,,,1,1,74,71,40,1,,48,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:24:57,2023-04-06 15:27:16,0,108.246.220.15,100,138,1,2023-04-06 15:27:17,R_2PaPYaMXAmQcGqf,,,,,33.9339,-117.8854,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,21.245,0,0,0,12.308,0,100,17,0,100,44,41,2,1,18,42,50,1,,52,4,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:29:36,2023-04-06 15:31:45,0,107.138.244.127,100,128,1,2023-04-06 15:31:45,R_1rCSvkzMC2oJh8n,,,,,30.4457,-91.1801,anonymous,EN,1,2,2,0,0,13.696,0,0,0,11.277,0,93,62,36,69,71,,,,,,,,,,,,,,,1,1,16,74,28,2,,20,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:28:12,2023-04-06 15:31:59,0,98.225.86.240,100,226,1,2023-04-06 15:31:59,R_7aLzYRLxKQznRMl,,,,,32.2163,-110.9241,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,23.443,0,0,0,18.585,0,100,0,20,100,0,0,2,1,0,50,30,2,,33,7,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 15:25:59,2023-04-06 15:32:02,0,47.212.77.167,100,363,1,2023-04-06 15:32:03,R_1Eg0oiXroLwcmR3,,,,,35.7767,-90.7694,anonymous,EN,1,2,2,0,0,19.406,0,0,0,34.751,0,100,0,100,100,0,,,,,,,,,,,,,,,1,1,0,71,0,1,,35,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:28:23,2023-04-06 15:32:17,0,205.154.255.170,100,234,1,2023-04-06 15:32:18,R_ysXchnD09Z2dd85,,,,,37.7506,-122.4121,anonymous,EN,1,2,2,6.438,6.438,25.786,1,0,0,20.717,0,70,30,75,75,65,,,,,,,,,,,,,,,1,1,10,50,30,2,,30,5,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:29:00,2023-04-06 15:32:59,0,71.1.249.161,100,238,1,2023-04-06 15:33:01,R_3NV9aPRHkGuLydb,,,,,26.551,-81.9447,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,29.877,0,0,0,26.611,0,100,0,0,100,100,50,2,1,0,100,25,1,,65,3,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:30:03,2023-04-06 15:33:07,0,75.187.119.49,100,183,1,2023-04-06 15:33:07,R_w0J5lF01AYglS9z,,,,,39.1094,-84.5718,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,16.214,0,0,0,11.393,0,100,0,0,100,60,75,2,1,20,50,15,2,,39,5,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:29:45,2023-04-06 15:33:15,0,173.75.210.227,100,210,1,2023-04-06 15:33:15,R_D826VhHBI6lRGTv,,,,,40.4323,-75.1091,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,20.633,0,0,0,16.094,0,100,0,0,100,5,1,2,1,55,60,45,1,,36,7,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:27:46,2023-04-06 15:33:17,0,108.87.41.52,100,330,1,2023-04-06 15:33:17,R_3I42TRzCiCrptWM,,,,,35.4662,-97.5168,anonymous,EN,1,2,2,0,0,37.24,0,0,0,13.573,0,100,0,100,50,8,,,,,,,,,,,,,,,1,1,61,50,9,2,,61,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:26:17,2023-04-06 15:33:45,0,45.23.116.157,100,447,1,2023-04-06 15:33:45,R_2PhPo39dEFJO0TZ,,,,,42.3255,-83.0415,anonymous,EN,1,2,2,,,,,,,,,,,,,,0.922,40.85,41.852,4,2.115,2.115,62.376,1,62,36,58,64,26,78,1,1,68,60,0,1,,31,1,,FL_40,,,Q90|vB_mnfctr_liable|vB_driver_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 15:31:13,2023-04-06 15:33:55,0,204.111.224.19,100,161,1,2023-04-06 15:33:55,R_2t3C6Da7gUt9id3,,,,,37.2557,-79.9812,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,13.366,0,0,0,19.746,0,100,0,0,100,30,18,2,1,100,50,68,1,,,4,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 15:30:18,2023-04-06 15:34:08,0,24.91.169.146,100,229,1,2023-04-06 15:34:08,R_1QxBuvUhmC8vQKo,,,,,42.2463,-70.9972,anonymous,EN,1,2,2,0,0,15.928,0,10.744,10.744,13.49,1,95,19,98,31,34,,,,,,,,,,,,,,,1,1,41,70,22,2,,25,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:31:15,2023-04-06 15:34:36,0,74.68.42.160,100,201,1,2023-04-06 15:34:37,R_10pbXIp4OYtLDbd,,,,,40.7109,-73.7388,anonymous,EN,1,2,2,0,0,17.705,0,0,0,12.144,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,36,50,61,1,,35,7,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:32:55,2023-04-06 15:34:43,0,174.249.185.173,100,107,1,2023-04-06 15:34:44,R_Xk42EQUFdTd9O5r,,,,,33.8019,-84.3861,anonymous,EN,1,2,2,18.888,18.888,26.703,1,0,0,11.786,0,61,32,64,58,62,,,,,,,,,,,,,,,1,1,58,62,15,1,,35,4,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:32:16,2023-04-06 15:34:59,0,47.219.187.96,100,163,1,2023-04-06 15:35:00,R_1n9DQeuNwGj2UqD,,,,,30.6623,-96.3349,anonymous,EN,1,2,2,0,0,22.929,0,0,0,12.025,0,12,14,100,0,0,,,,,,,,,,,,,,,1,1,0,80,60,1,,23,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:32:05,2023-04-06 15:35:08,0,47.134.241.55,100,182,1,2023-04-06 15:35:09,R_2fBE7AQOm29u7RH,,,,,36.059,-81.9303,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,30.055,0,0,0,13.334,0,100,10,0,80,50,50,2,1,50,50,22,1,,20,3,,FL_40,,,Q90|vA_liable|vB_driver_liable|vB_mnfctr_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:32:20,2023-04-06 15:35:16,0,73.42.164.20,100,175,1,2023-04-06 15:35:16,R_3GvpagjPGAIAb0B,,,,,47.024,-122.7827,anonymous,EN,1,2,2,4.824,6.941,19.03,2,0,0,11.922,0,80,30,100,70,60,,,,,,,,,,,,,,,1,1,50,60,80,4,Agender,31,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:31:15,2023-04-06 15:35:22,0,45.20.0.222,100,247,1,2023-04-06 15:35:23,R_2AZtWIW3dWRa4PA,,,,,32.6957,-97.0907,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,19.465,0,11.599,11.599,11.884,1,100,0,25,100,80,5,2,1,55,85,65,1,,25,4,,FL_40,,,Q90|vB_driver_liable|vB_mnfctr_liable|vA_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:33:42,2023-04-06 15:35:26,0,68.4.47.1,100,104,1,2023-04-06 15:35:27,R_2R54ueQcLs8pMVR,,,,,33.6816,-117.8302,anonymous,EN,1,2,2,0,0,17.09,0,0,0,11.381,0,81,36,91,65,68,,,,,,,,,,,,,,,1,1,38,50,0,1,,21,1,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:31:46,2023-04-06 15:35:33,0,24.198.76.190,100,226,1,2023-04-06 15:35:33,R_11d2xqY3jY6mrA6,,,,,43.0842,-75.2287,anonymous,EN,1,2,2,0,0,31.862,0,0,0,11.714,0,70,50,100,100,50,,,,,,,,,,,,,,,1,1,0,20,50,2,,33,4,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:30:07,2023-04-06 15:35:44,0,75.139.220.201,100,337,1,2023-04-06 15:35:45,R_3IWrBkUlRnxaNng,,,,,42.3902,-122.9177,anonymous,EN,1,2,2,0,0,31.277,0,0,0,13.736,0,100,0,100,0,0,,,,,,,,,,,,,,,1,1,80,70,0,2,,34,3,,FL_39,Q116|vA_liable_AV|vB_mnfctr_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,driving_ability|pol_affiliation
2023-04-06 15:32:48,2023-04-06 15:35:53,0,76.128.113.222,100,185,1,2023-04-06 15:35:54,R_2aKX6LwnhyR4C4F,,,,,26.3111,-80.0982,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,26.832,0,0,0,11.95,0,100,0,0,100,0,0,2,1,50,100,57,1,,37,4,,FL_40,,,Q90|vA_liable|vB_mnfctr_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,driving_ability|pol_affiliation
2023-04-06 15:32:44,2023-04-06 15:35:55,0,68.113.117.23,100,190,1,2023-04-06 15:35:55,R_1QKOOiNba6qRdFM,,,,,34.5891,-86.9909,anonymous,EN,1,2,2,5.424,5.424,19.473,1,0,0,11.701,0,100,100,100,100,100,,,,,,,,,,,,,,,1,1,50,100,20,2,,36,3,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vB_cntrfctl_AV|vA_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:32:41,2023-04-06 15:36:04,0,172.58.136.250,100,202,1,2023-04-06 15:36:04,R_eJwdiblm4TFF6ZX,,,,,37.751,-97.822,anonymous,EN,1,2,2,,,,,,,,,,,,,,3.183,7.289,28.209,4,2.337,2.337,13.159,1,0,100,0,0,100,100,2,2,60,86,10,1,,48,3,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vB_cntrfctl|vA_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 15:33:35,2023-04-06 15:36:08,0,107.122.173.30,100,153,1,2023-04-06 15:36:08,R_1kOkjSZJCVQSqLT,,,,,40.7592,-111.8875,anonymous,EN,1,2,2,,,,,,,,,,,,,,4.772,16.029,17.206,2,0,0,11.191,0,72,34,21,93,41,55,2,1,54,61,57,1,,24,3,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
2023-04-06 15:33:54,2023-04-06 15:36:29,0,68.200.226.97,100,155,1,2023-04-06 15:36:30,R_2TNMycYtJVoNsDo,,,,,27.9032,-82.2911,anonymous,EN,1,2,2,0,0,12.871,0,0,0,12.76,0,91,8,100,6,13,,,,,,,,,,,,,,,1,1,36,85,29,1,,27,7,,FL_39,Q116|vB_mnfctr_liable_AV|vA_liable_AV,Q122|vA_cntrfctl_AV|vB_cntrfctl_AV|avoid_AV,,,pol_affiliation|driving_ability
2023-04-06 15:33:36,2023-04-06 15:36:37,0,75.251.180.147,100,180,1,2023-04-06 15:36:37,R_3QGkYzoAWl5rwWO,,,,,39.9484,-74.9875,anonymous,EN,1,2,2,,,,,,,,,,,,,,0,0,21.873,0,0,0,12.187,0,100,0,0,100,0,0,2,1,60,55,5,1,,32,2,,FL_40,,,Q90|vB_mnfctr_liable|vA_liable|vB_driver_liable,Q71|vA_cntrfctl|vB_cntrfctl|avoid,pol_affiliation|driving_ability
